word,freq,alliance
"rosie",54,enemy
"billmaher",79,enemy
"democrat",77,enemy
"seanhannity",74,friend
"oreillyfactor",74,friend
"rod",69,enemy
"eric",69,friend
"marco",69,enemy
"rosie",54,enemy
"piersmorgan",51,friend
"mueller",50,enemy
"chuck",60,enemy
"omarosa",59,enemy
"greta",59,friend
"sanders",58,enemy
"democrats",355,enemy
"obama",1226,enemy
"barackobama",673,enemy
"hillary",661,enemy
"china",521,enemy
"clinton",449,enemy
"donald",440,friend
"media",420,enemy
"mittromney",291,enemy
"foxnews",286,friend
"cnn",289,enemy
"republicans",276,friend
"russia",261,neutral
"foxandfriends",257,friend
"republican",247,friend
"nbc",229,neutral
"iran",225,enemy
"korea",191,enemy
"gop",190,friend
"americans",182,neutral
"congress",173,neutral
"cruz",175,enemy
"senate",158,neutral
"mexico",151,enemy
"fox",142,friend
"senator",140,neutral
"press",137,enemy
"nytimes",124,enemy
"melania",100,friend
"joe",100,neutral
"rubio",97,enemy
"comey",95,enemy
"bernie",93,enemy
"mike",89,friend
"syria",88,enemy
"israel",88,friend
"ivankatrump",87,friend
"mitt",86,enemy

